indicator,name,description,sources
DAC1.10.1015,Bilateral ODA,DAC1 data for Bilateral ODA [ODA],['DAC1']
DAC1.10.1020,"Offsetting entry for debt relief (OOF claims, principal)","DAC1 data for Offsetting entry for debt relief (OOF claims, principal) [ODA]",['DAC1']
DAC1.10.1100,Budget support,DAC1 data for Budget support [ODA],['DAC1']
DAC1.10.1110,General budget support,DAC1 data for General budget support [ODA],['DAC1']
DAC1.10.1120,Sector budget support,DAC1 data for Sector budget support [ODA],['DAC1']
DAC1.10.1200,Bilateral core contributions & pooled programmes & funds,DAC1 data for Bilateral core contributions & pooled programmes & funds [ODA],['DAC1']
DAC1.10.1210,"Core support to NGOs, other private bodies, PPPs & research institutes","DAC1 data for Core support to NGOs, other private bodies, PPPs & research institutes [ODA]",['DAC1']
DAC1.10.1211,Core support to donor country-based NGOs & civil society,DAC1 data for Core support to donor country-based NGOs & civil society [ODA],['DAC1']
DAC1.10.1212,Core support to international NGOs (including developing country-based NGOs),DAC1 data for Core support to international NGOs (including developing country-based NGOs) [ODA],['DAC1']
DAC1.10.1213,Core support to Public-Private Partnerships (including networks),DAC1 data for Core support to Public-Private Partnerships (including networks) [ODA],['DAC1']
DAC1.10.1214,Other core contributions & pooled programmes & funds,DAC1 data for Other core contributions & pooled programmes & funds [ODA],['DAC1']
DAC1.10.1220,Specific-purpose programmes & funds managed by international organisations,DAC1 data for Specific-purpose programmes & funds managed by international organisations [ODA],['DAC1']
DAC1.10.1230,Basket funds/pooled funding,DAC1 data for Basket funds/pooled funding [ODA],['DAC1']
DAC1.10.1300,Project-type interventions,DAC1 data for Project-type interventions [ODA],['DAC1']
DAC1.10.1301,Memo: Cost of donor experts included in projects (optional reporting),DAC1 data for Memo: Cost of donor experts included in projects (optional reporting) [ODA],['DAC1']
DAC1.10.1310,Investment projects,DAC1 data for Investment projects [ODA],['DAC1']
DAC1.10.1320,Other projects,DAC1 data for Other projects [ODA],['DAC1']
DAC1.10.1330,Memo: Projects qualifying as programme-based approaches,DAC1 data for Memo: Projects qualifying as programme-based approaches [ODA],['DAC1']
DAC1.10.1400,Experts and other technical assistance,DAC1 data for Experts and other technical assistance [ODA],['DAC1']
DAC1.10.1410,Donor personnel,DAC1 data for Donor personnel [ODA],['DAC1']
DAC1.10.1420,Other technical assistance,DAC1 data for Other technical assistance [ODA],['DAC1']
DAC1.10.1500,Scholarships and student costs in donor countries,DAC1 data for Scholarships and student costs in donor countries [ODA],['DAC1']
DAC1.10.1510,Scholarships/training in donor country,DAC1 data for Scholarships/training in donor country [ODA],['DAC1']
DAC1.10.1520,Imputed student costs,DAC1 data for Imputed student costs [ODA],['DAC1']
DAC1.10.1600,Debt relief,DAC1 data for Debt relief [ODA],['DAC1']
DAC1.10.1610,Debt forgiveness and debt rescheduling,DAC1 data for Debt forgiveness and debt rescheduling [ODA],['DAC1']
DAC1.10.1611,"Debt forgiveness and rescheduling, ODA claims (for loans, only capitalised interest)","DAC1 data for Debt forgiveness and rescheduling, ODA claims (for loans, only capitalised interest) [ODA]",['DAC1']
DAC1.10.1614,Memo: Grants for debt service reduction,DAC1 data for Memo: Grants for debt service reduction [ODA],['DAC1']
DAC1.10.1615,"Debt forgiveness and rescheduling, OOF claims","DAC1 data for Debt forgiveness and rescheduling, OOF claims [ODA]",['DAC1']
DAC1.10.1616,"Debt forgiveness and rescheduling, claims of officially supported export credits","DAC1 data for Debt forgiveness and rescheduling, claims of officially supported export credits [ODA]",['DAC1']
DAC1.10.1617,"Debt forgiveness and rescheduling, private claims","DAC1 data for Debt forgiveness and rescheduling, private claims [ODA]",['DAC1']
DAC1.10.1620,Other action on debt,DAC1 data for Other action on debt [ODA],['DAC1']
DAC1.10.1621,Service payments to third parties,DAC1 data for Service payments to third parties [ODA],['DAC1']
DAC1.10.1622,Debt conversion,DAC1 data for Debt conversion [ODA],['DAC1']
DAC1.10.1624,"Other action on debt, other","DAC1 data for Other action on debt, other [ODA]",['DAC1']
DAC1.10.1630,Offsetting entry for debt forgiveness (principal ODA claim),DAC1 data for Offsetting entry for debt forgiveness (principal ODA claim) [ODA],['DAC1']
DAC1.10.1640,Memo: Offsetting entry for forgiven interest (interest ODA claim),DAC1 data for Memo: Offsetting entry for forgiven interest (interest ODA claim) [ODA],['DAC1']
DAC1.10.1700,Administrative costs not included elsewhere,DAC1 data for Administrative costs not included elsewhere [ODA],['DAC1']
DAC1.10.1800,Other in-donor expenditures,DAC1 data for Other in-donor expenditures [ODA],['DAC1']
DAC1.10.1810,Development awareness,DAC1 data for Development awareness [ODA],['DAC1']
DAC1.10.1820,Refugees in donor countries,DAC1 data for Refugees in donor countries [ODA],['DAC1']
DAC1.10.1826,"Refugees in donor countries, of which: Support to refugees and asylum seekers in other provider countries","DAC1 data for Refugees in donor countries, of which: Support to refugees and asylum seekers in other provider countries [ODA]",['DAC1']
DAC1.10.1900,Recoveries on bilateral ODA grants / negative commitments,DAC1 data for Recoveries on bilateral ODA grants / negative commitments [ODA],['DAC1']
DAC1.10.1901,Memo: Programme-based approaches (PBAs),DAC1 data for Memo: Programme-based approaches (PBAs) [ODA],['DAC1']
DAC1.10.1902,Memo: Free-standing technical co-operation (FTC),DAC1 data for Memo: Free-standing technical co-operation (FTC) [ODA],['DAC1']
DAC1.10.1903,Memo: ODA channelled through private entities,DAC1 data for Memo: ODA channelled through private entities [ODA],['DAC1']
DAC1.10.1904,Memo: ODA channelled through multilateral organisations,DAC1 data for Memo: ODA channelled through multilateral organisations [ODA],['DAC1']
DAC1.10.1905,Memo: Post-conflict peacebuilding operations,DAC1 data for Memo: Post-conflict peacebuilding operations [ODA],['DAC1']
DAC1.10.1906,Memo: Relief food aid,DAC1 data for Memo: Relief food aid [ODA],['DAC1']
DAC1.10.1999,Other loans repayments,DAC1 data for Other loans repayments [ODA],['DAC1']
DAC1.10.2000,Multilateral ODA (capital subscriptions are included with grants),DAC1 data for Multilateral ODA (capital subscriptions are included with grants) [ODA],['DAC1']
DAC1.10.2100,Multilateral contributions to:,DAC1 data for Multilateral contributions to: [ODA],['DAC1']
DAC1.10.2101,UN agencies,DAC1 data for UN agencies [ODA],['DAC1']
DAC1.10.2102,EU institutions,DAC1 data for EU institutions [ODA],['DAC1']
DAC1.10.2103,IDA,DAC1 data for IDA [ODA],['DAC1']
DAC1.10.2104,"Other World Bank (IBRD, IFC, MIGA)","DAC1 data for Other World Bank (IBRD, IFC, MIGA) [ODA]",['DAC1']
DAC1.10.2105,Regional development banks,DAC1 data for Regional development banks [ODA],['DAC1']
DAC1.10.2106,Global Environment Facility (96%),DAC1 data for Global Environment Facility (96%) [ODA],['DAC1']
DAC1.10.2107,Montreal Protocol,DAC1 data for Montreal Protocol [ODA],['DAC1']
DAC1.10.2108,Other agencies,DAC1 data for Other agencies [ODA],['DAC1']
DAC1.10.2110,Recoveries on multilateral ODA grants and capital subscriptions / negative commitments,DAC1 data for Recoveries on multilateral ODA grants and capital subscriptions / negative commitments [ODA],['DAC1']
DAC1.21.2210,OOF Budget support,DAC1 data for OOF Budget support [OOF],['DAC1']
DAC1.21.2220,Investment-related transactions,DAC1 data for Investment-related transactions [OOF],['DAC1']
DAC1.21.2221,Through debt,DAC1 data for Through debt [OOF],['DAC1']
DAC1.21.2222,Through equity investments,DAC1 data for Through equity investments [OOF],['DAC1']
DAC1.21.2223,"Through equity investments, of which shares in CIVs","DAC1 data for Through equity investments, of which shares in CIVs [OOF]",['DAC1']
DAC1.21.2224,Through mezzanine finance,DAC1 data for Through mezzanine finance [OOF],['DAC1']
DAC1.21.2225,"Memo: Investment-related transactions, of which to the private sector","DAC1 data for Memo: Investment-related transactions, of which to the private sector [OOF]",['DAC1']
DAC1.50.2231,Memo: 1. Development finance in blended finance packages,DAC1 data for Memo: 1. Development finance in blended finance packages [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.2232,"Memo: 1. Development finance in blended finance packages, of which through funds and facilities","DAC1 data for Memo: 1. Development finance in blended finance packages, of which through funds and facilities [Other flows (e.g. the non ODA component of peacekeeping operations)]",['DAC1']
DAC1.50.2233,Memo: 2. Amounts mobilised from the private sector,DAC1 data for Memo: 2. Amounts mobilised from the private sector [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.2234,"Memo: 2. Amounts mobilised from the private sector, of which through guarantees","DAC1 data for Memo: 2. Amounts mobilised from the private sector, of which through guarantees [Other flows (e.g. the non ODA component of peacekeeping operations)]",['DAC1']
DAC1.10.2901,Memo: HIPC Initiative,DAC1 data for Memo: HIPC Initiative [ODA],['DAC1']
DAC1.10.2902,Memo: IDA Debt Reduction Facility,DAC1 data for Memo: IDA Debt Reduction Facility [ODA],['DAC1']
DAC1.21.2999,Other reimbursements on previously OOF rescheduled loans,DAC1 data for Other reimbursements on previously OOF rescheduled loans [OOF],['DAC1']
DAC1.22.3000,Officially supported export credits,DAC1 data for Officially supported export credits [Officially supported export credits],['DAC1']
DAC1.22.3100,Official direct export credits,DAC1 data for Official direct export credits [Officially supported export credits],['DAC1']
DAC1.22.3102,"Offsetting entry for debt relief (export credit claims, principal)","DAC1 data for Offsetting entry for debt relief (export credit claims, principal) [Officially supported export credits]",['DAC1']
DAC1.22.3200,Officially guaranteed or insured export credits,DAC1 data for Officially guaranteed or insured export credits [Officially supported export credits],['DAC1']
DAC1.50.3300,Private flows at market terms,DAC1 data for Private flows at market terms [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.3320,Bilateral private flows,DAC1 data for Bilateral private flows [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.3530,Other securities and claims,DAC1 data for Other securities and claims [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.3840,Total banks (long-term),DAC1 data for Total banks (long-term) [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.3860,Non-banks,DAC1 data for Non-banks [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.3890,Other securities (incl. equities),DAC1 data for Other securities (incl. equities) [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.50.7530,Other bank,DAC1 data for Other bank [Other flows (e.g. the non ODA component of peacekeeping operations)],['DAC1']
DAC1.21.7860,"Memo: - Offsetting entry for forgiven interest (OOF claims, interest)","DAC1 data for Memo: - Offsetting entry for forgiven interest (OOF claims, interest) [OOF]",['DAC1']
DAC1.21.7950,"Memo: - Interest received on OOF, total (bilat.+multilat.)","DAC1 data for Memo: - Interest received on OOF, total (bilat.+multilat.) [OOF]",['DAC1']
DAC1.21.8000,Memo: - Interest received on OOF (Bilateral),DAC1 data for Memo: - Interest received on OOF (Bilateral) [OOF],['DAC1']
DAC1.10.11002,"ODA as percent of GNI, grant equivalent","DAC1 data for ODA as percent of GNI, grant equivalent [ODA]",['DAC1']
DAC1.10.11010,"Official Development Assistance (ODA), grant equivalent","DAC1 data for Official Development Assistance (ODA), grant equivalent [ODA]",['DAC1']
DAC1.10.11015,"Bilateral ODA, grant equivalent","DAC1 data for Bilateral ODA, grant equivalent [ODA]",['DAC1']
DAC1.10.11016,"Bilateral grants, grant equivalent","DAC1 data for Bilateral grants, grant equivalent [ODA]",['DAC1']
DAC1.10.11017,"Bilateral loans, grant equivalent","DAC1 data for Bilateral loans, grant equivalent [ODA]",['DAC1']
DAC1.10.11018,"Other bilateral ODA, net flows","DAC1 data for Other bilateral ODA, net flows [ODA]",['DAC1']
DAC1.10.11019,"Bilateral loans to LDCs & OLICs, grant equivalent","DAC1 data for Bilateral loans to LDCs & OLICs, grant equivalent [ODA]",['DAC1']
DAC1.10.11020,"Bilateral loans to LMICs, grant equivalent","DAC1 data for Bilateral loans to LMICs, grant equivalent [ODA]",['DAC1']
DAC1.10.11021,"Bilateral loans to UMICs, grant equivalent","DAC1 data for Bilateral loans to UMICs, grant equivalent [ODA]",['DAC1']
DAC1.10.11022,"Bilateral loans for multi-country agreements, grant equivalent","DAC1 data for Bilateral loans for multi-country agreements, grant equivalent [ODA]",['DAC1']
DAC1.60.11023,Private sector instruments - institutional approach,DAC1 data for Private sector instruments - institutional approach [Private sector instruments (though in theory those are also ODA)],['DAC1']
DAC1.60.11024,Private sector instruments - instrument approach,DAC1 data for Private sector instruments - instrument approach [Private sector instruments (though in theory those are also ODA)],['DAC1']
DAC1.10.11026,"Debt relief, grant equivalent","DAC1 data for Debt relief, grant equivalent [ODA]",['DAC1']
DAC1.60.11030,Private sector instruments,DAC1 data for Private sector instruments [Private sector instruments (though in theory those are also ODA)],['DAC1']
DAC1.60.11040,"Private sector instruments (PSI), grant equivalent","DAC1 data for Private sector instruments (PSI), grant equivalent [Private sector instruments (though in theory those are also ODA)]",['DAC1']
DAC1.60.11041,"PSI institutional approach, capital increases of ODA-eligible PSI vehicles, grant equivalents","DAC1 data for PSI institutional approach, capital increases of ODA-eligible PSI vehicles, grant equivalents [Private sector instruments (though in theory those are also ODA)]",['DAC1']
DAC1.60.11042,"PSI instrument approach, individual PSI activities, grant equivalents","DAC1 data for PSI instrument approach, individual PSI activities, grant equivalents [Private sector instruments (though in theory those are also ODA)]",['DAC1']
DAC1.10.12000,"Multilateral ODA, grant equivalent","DAC1 data for Multilateral ODA, grant equivalent [ODA]",['DAC1']
DAC1.10.12100,"Multilateral grants and capital subscriptions, Grant equivalent","DAC1 data for Multilateral grants and capital subscriptions, Grant equivalent [ODA]",['DAC1']
DAC1.10.12110,"Multilateral loans, grant equivalent","DAC1 data for Multilateral loans, grant equivalent [ODA]",['DAC1']
DAC2A.10.219,Recoveries on grants,DAC2A data for Recoveries on grants,['DAC2A']
DAC2A.10.106,Imputed multilateral ODA,DAC2A data for Imputed multilateral ODA,['DAC2A']
DAC2A.10.250,"ODA, total net excluding debt relief","DAC2A data for ODA, total net excluding debt relief",['DAC2A']
DAC2A.10.201,"ODA grants, disbursements","DAC2A data for ODA grants, disbursements",['DAC2A']
DAC2A.10.240,Gross ODA,DAC2A data for Gross ODA,['DAC2A']
DAC2A.10.207,"Technical cooperation, disbursements","DAC2A data for Technical cooperation, disbursements",['DAC2A']
DAC2A.10.206,"Official development assistance (ODA), disbursements","DAC2A data for Official development assistance (ODA), disbursements",['DAC2A']
DAC2A.10.216,Humanitarian aid,DAC2A data for Humanitarian aid,['DAC2A']
DAC2A.10.205,"ODA Loans, repayments","DAC2A data for ODA Loans, repayments",['DAC2A']
DAC2A.10.204,Gross ODA Loans,DAC2A data for Gross ODA Loans,['DAC2A']
DAC2A.10.213,Development food aid,DAC2A data for Development food aid,['DAC2A']
DAC2A.10.209,"Interest received, ODA","DAC2A data for Interest received, ODA",['DAC2A']
DAC2A.10.218,"ODA Loans, net disbursements","DAC2A data for ODA Loans, net disbursements",['DAC2A']
DAC2A.10.217,"ODA Loans, equity investment","DAC2A data for ODA Loans, equity investment",['DAC2A']
DAC2A.10.210,"Capital subscriptions, deposits","DAC2A data for Capital subscriptions, deposits",['DAC2A']
DAC2A.10.212,Debt forgiveness,DAC2A data for Debt forgiveness,['DAC2A']
DAC2A.10.255,Net debt relief,DAC2A data for Net debt relief,['DAC2A']
DAC2A.10.215,Offsetting entries for debt relief (ODA claims),DAC2A data for Offsetting entries for debt relief (ODA claims),['DAC2A']
DAC2A.10.208,"Associated financing/interest subsidies, disbursements","DAC2A data for Associated financing/interest subsidies, disbursements",['DAC2A']
DAC2A.10.221,Other debt grants,DAC2A data for Other debt grants,['DAC2A']
DAC2A.10.214,"ODA Loans, rescheduled debt","DAC2A data for ODA Loans, rescheduled debt",['DAC2A']
DAC2A.10.211,"Memo: capital subscriptions, encashment basis","DAC2A data for Memo: capital subscriptions, encashment basis",['DAC2A']
ONE.10.206_106,Total ODA (bilateral plus imputed multilateral),Official Development Assistance (ODA) as net bilateral disbursements plus imputed multilateral aid.,['DAC2A']
CRS.P.10,ODA,Bilateral ODA (Provider),['CRS']
CRS.P.10.100,"ODA, Grants",Bilateral ODA Grants (Provider),['CRS']
CRS.P.10.100.A,"ODA, Grants, Budget support",Bilateral ODA Grants Budget support (Provider),['CRS']
CRS.P.10.100.A.110,"ODA, Grants, Budget support, Education",Bilateral ODA Grants Budget support Education (Provider),['CRS']
CRS.P.10.100.A.120,"ODA, Grants, Budget support, Health",Bilateral ODA Grants Budget support Health (Provider),['CRS']
CRS.P.10.100.A.130,"ODA, Grants, Budget support, Population Policies/Programmes & Reproductive Health",Bilateral ODA Grants Budget support Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.10.100.A.140,"ODA, Grants, Budget support, Water Supply & Sanitation",Bilateral ODA Grants Budget support Water Supply & Sanitation (Provider),['CRS']
CRS.P.10.100.A.150,"ODA, Grants, Budget support, Government & Civil Society",Bilateral ODA Grants Budget support Government & Civil Society (Provider),['CRS']
CRS.P.10.100.A.160,"ODA, Grants, Budget support, Other Social Infrastructure & Services",Bilateral ODA Grants Budget support Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.10.100.A.210,"ODA, Grants, Budget support, Transport & Storage",Bilateral ODA Grants Budget support Transport & Storage (Provider),['CRS']
CRS.P.10.100.A.220,"ODA, Grants, Budget support, Communications",Bilateral ODA Grants Budget support Communications (Provider),['CRS']
CRS.P.10.100.A.230,"ODA, Grants, Budget support, Energy",Bilateral ODA Grants Budget support Energy (Provider),['CRS']
CRS.P.10.100.A.240,"ODA, Grants, Budget support, Banking & Financial Services",Bilateral ODA Grants Budget support Banking & Financial Services (Provider),['CRS']
CRS.P.10.100.A.250,"ODA, Grants, Budget support, Business & Other Services",Bilateral ODA Grants Budget support Business & Other Services (Provider),['CRS']
CRS.P.10.100.A.310,"ODA, Grants, Budget support, Agriculture, Forestry, Fishing","Bilateral ODA Grants Budget support Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.10.100.A.320,"ODA, Grants, Budget support, Industry, Mining, Construction","Bilateral ODA Grants Budget support Industry, Mining, Construction (Provider)",['CRS']
CRS.P.10.100.A.330,"ODA, Grants, Budget support, Trade Policies & Regulations",Bilateral ODA Grants Budget support Trade Policies & Regulations (Provider),['CRS']
CRS.P.10.100.A.410,"ODA, Grants, Budget support, General Environment Protection",Bilateral ODA Grants Budget support General Environment Protection (Provider),['CRS']
CRS.P.10.100.A.430,"ODA, Grants, Budget support, Other Multisector",Bilateral ODA Grants Budget support Other Multisector (Provider),['CRS']
CRS.P.10.100.A.510,"ODA, Grants, Budget support, General Budget Support",Bilateral ODA Grants Budget support General Budget Support (Provider),['CRS']
CRS.P.10.100.A.520,"ODA, Grants, Budget support, Development Food Assistance",Bilateral ODA Grants Budget support Development Food Assistance (Provider),['CRS']
CRS.P.10.100.A.720,"ODA, Grants, Budget support, Emergency Response",Bilateral ODA Grants Budget support Emergency Response (Provider),['CRS']
CRS.P.10.100.A.730,"ODA, Grants, Budget support, Reconstruction Relief & Rehabilitation",Bilateral ODA Grants Budget support Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.10.100.A.740,"ODA, Grants, Budget support, Disaster Prevention & Preparedness",Bilateral ODA Grants Budget support Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.10.100.B,"ODA, Grants, Core contributions and pooled programmes and funds",Bilateral ODA Grants Core contributions and pooled programmes and funds (Provider),['CRS']
CRS.P.10.100.B.110,"ODA, Grants, Core contributions and pooled programmes and funds, Education",Bilateral ODA Grants Core contributions and pooled programmes and funds Education (Provider),['CRS']
CRS.P.10.100.B.120,"ODA, Grants, Core contributions and pooled programmes and funds, Health",Bilateral ODA Grants Core contributions and pooled programmes and funds Health (Provider),['CRS']
CRS.P.10.100.B.130,"ODA, Grants, Core contributions and pooled programmes and funds, Population Policies/Programmes & Reproductive Health",Bilateral ODA Grants Core contributions and pooled programmes and funds Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.10.100.B.140,"ODA, Grants, Core contributions and pooled programmes and funds, Water Supply & Sanitation",Bilateral ODA Grants Core contributions and pooled programmes and funds Water Supply & Sanitation (Provider),['CRS']
CRS.P.10.100.B.150,"ODA, Grants, Core contributions and pooled programmes and funds, Government & Civil Society",Bilateral ODA Grants Core contributions and pooled programmes and funds Government & Civil Society (Provider),['CRS']
CRS.P.10.100.B.160,"ODA, Grants, Core contributions and pooled programmes and funds, Other Social Infrastructure & Services",Bilateral ODA Grants Core contributions and pooled programmes and funds Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.10.100.B.210,"ODA, Grants, Core contributions and pooled programmes and funds, Transport & Storage",Bilateral ODA Grants Core contributions and pooled programmes and funds Transport & Storage (Provider),['CRS']
CRS.P.10.100.B.220,"ODA, Grants, Core contributions and pooled programmes and funds, Communications",Bilateral ODA Grants Core contributions and pooled programmes and funds Communications (Provider),['CRS']
CRS.P.10.100.B.230,"ODA, Grants, Core contributions and pooled programmes and funds, Energy",Bilateral ODA Grants Core contributions and pooled programmes and funds Energy (Provider),['CRS']
CRS.P.10.100.B.240,"ODA, Grants, Core contributions and pooled programmes and funds, Banking & Financial Services",Bilateral ODA Grants Core contributions and pooled programmes and funds Banking & Financial Services (Provider),['CRS']
CRS.P.10.100.B.250,"ODA, Grants, Core contributions and pooled programmes and funds, Business & Other Services",Bilateral ODA Grants Core contributions and pooled programmes and funds Business & Other Services (Provider),['CRS']
CRS.P.10.100.B.310,"ODA, Grants, Core contributions and pooled programmes and funds, Agriculture, Forestry, Fishing","Bilateral ODA Grants Core contributions and pooled programmes and funds Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.10.100.B.320,"ODA, Grants, Core contributions and pooled programmes and funds, Industry, Mining, Construction","Bilateral ODA Grants Core contributions and pooled programmes and funds Industry, Mining, Construction (Provider)",['CRS']
CRS.P.10.100.B.330,"ODA, Grants, Core contributions and pooled programmes and funds, Trade Policies & Regulations",Bilateral ODA Grants Core contributions and pooled programmes and funds Trade Policies & Regulations (Provider),['CRS']
CRS.P.10.100.B.410,"ODA, Grants, Core contributions and pooled programmes and funds, General Environment Protection",Bilateral ODA Grants Core contributions and pooled programmes and funds General Environment Protection (Provider),['CRS']
CRS.P.10.100.B.430,"ODA, Grants, Core contributions and pooled programmes and funds, Other Multisector",Bilateral ODA Grants Core contributions and pooled programmes and funds Other Multisector (Provider),['CRS']
CRS.P.10.100.B.510,"ODA, Grants, Core contributions and pooled programmes and funds, General Budget Support",Bilateral ODA Grants Core contributions and pooled programmes and funds General Budget Support (Provider),['CRS']
CRS.P.10.100.B.520,"ODA, Grants, Core contributions and pooled programmes and funds, Development Food Assistance",Bilateral ODA Grants Core contributions and pooled programmes and funds Development Food Assistance (Provider),['CRS']
CRS.P.10.100.B.600,"ODA, Grants, Core contributions and pooled programmes and funds, Action Relating to Debt",Bilateral ODA Grants Core contributions and pooled programmes and funds Action Relating to Debt (Provider),['CRS']
CRS.P.10.100.B.720,"ODA, Grants, Core contributions and pooled programmes and funds, Emergency Response",Bilateral ODA Grants Core contributions and pooled programmes and funds Emergency Response (Provider),['CRS']
CRS.P.10.100.B.730,"ODA, Grants, Core contributions and pooled programmes and funds, Reconstruction Relief & Rehabilitation",Bilateral ODA Grants Core contributions and pooled programmes and funds Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.10.100.B.740,"ODA, Grants, Core contributions and pooled programmes and funds, Disaster Prevention & Preparedness",Bilateral ODA Grants Core contributions and pooled programmes and funds Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.10.100.B.930,"ODA, Grants, Core contributions and pooled programmes and funds, Refugees in Donor Countries",Bilateral ODA Grants Core contributions and pooled programmes and funds Refugees in Donor Countries (Provider),['CRS']
CRS.P.10.100.B.998,"ODA, Grants, Core contributions and pooled programmes and funds, Unallocated / Unspecified",Bilateral ODA Grants Core contributions and pooled programmes and funds Unallocated / Unspecified (Provider),['CRS']
CRS.P.10.100.C,"ODA, Grants, Project-type interventions",Bilateral ODA Grants Project-type interventions (Provider),['CRS']
