provider_code,agency_code,provider_name,agency_name,channel_code,status,reason,method,reviewed
976,2,Islamic Development Bank,Awqaf Properties Investment Fund,46025,mapped,,exact,true
976,3,Islamic Development Bank,Islamic Corporation for the Development of the Private Sector,46025,mapped,,exact,true
976,4,Islamic Development Bank,Islamic solidarity fund for Development,46025,mapped,,exact,true
976,5,Islamic Development Bank,International Islamic Trade Finance Corporation,46025,mapped,"No OECD code exists for ITFC itself; 46025 (parent Islamic Development Bank) is proposed by folding ITFC in with IsDB's other captive vehicles, which already report under 46025. Reviewed 2026-09-22 against fresh CRS (file date 2026-06-24).",manual,true
976,6,Islamic Development Bank,Special Assistance,46025,mapped,,exact,true
976,7,Islamic Development Bank,IsDB Group Science Technology and Innovation,46025,mapped,,exact,true
976,8,Islamic Development Bank,Trust Fund,46025,mapped,,exact,true
976,9,Islamic Development Bank,WAQF,46025,mapped,,exact,true
978,1,OSCE,Organisation for Security and Co-operation in Europe,47131,mapped,,exact,true
981,1,Black Sea Trade & Development Bank,BSTDB Ordinary capital,46006,mapped,,exact,true
988,1,IFAD,IFAD,41108,mapped,,exact,true
990,1,European Bank for Reconstruction and Development,EBRD,46015,mapped,,exact,true
1011,10,Climate Investment Funds,Clean Technology Fund,47134,mapped,,exact,true
1011,20,Climate Investment Funds,Strategic Climate Fund,47135,mapped,,exact,true
1011,21,Climate Investment Funds,Strategic Climate Fund - FIP,47135,mapped,,exact,true
1011,22,Climate Investment Funds,Strategic Climate Fund - PPCR,47135,mapped,,exact,true
1011,23,Climate Investment Funds,Strategic Climate Fund - SREP,47135,mapped,,exact,true
1012,1,Adaptation Fund,Adaptation Fund,47111,mapped,,exact,true
1013,1,Council of Europe Development Bank,Council of Europe Development Bank (CEB),46024,mapped,,exact,true
1013,2,Council of Europe Development Bank,Migrant and Refugee Fund,46024,mapped,,exact,true
1013,3,Council of Europe Development Bank,Social Impact Account,46024,mapped,,exact,true
1014,2,Private Infrastructure Development Group,Emerging Africa Infrastructure Fund,47086,mapped,,exact,true
1014,3,Private Infrastructure Development Group,GuarantCo,47086,mapped,,exact,true
1014,4,Private Infrastructure Development Group,InfraCo Asia,47086,mapped,,exact,true
1014,5,Private Infrastructure Development Group,InfraCo Africa,47086,mapped,,exact,true
1014,6,Private Infrastructure Development Group,GAP,47086,mapped,,exact,true
1014,7,Private Infrastructure Development Group,Technical Assistance Facility,47086,mapped,,exact,true
1015,1,Development Bank of Latin America,Development Bank of Latin America,46008,mapped,,exact,true
1016,1,Green Climate Fund,Green Climate Fund,41317,mapped,,exact,true
1016,2,Green Climate Fund,Private Sector Facility,41317,mapped,,exact,true
1016,3,Green Climate Fund,Division of Mitigation and Adaptation,41317,mapped,,exact,true
1019,1,IDB Invest,IDB Invest,46012,mapped,,exact,true
1020,1,Central Emergency Response Fund,Rapid Response,41147,mapped,,exact,true
1020,2,Central Emergency Response Fund,Under Funded,41147,mapped,,exact,true
1023,1,World Tourism Organisation,UNWTO-Regular Budget,41319,mapped,,exact,true
1023,2,World Tourism Organisation,UNWTO-Extra-Budgetary Project,41319,mapped,,exact,true
1023,3,World Tourism Organisation,UNWTO-Extra-Budgetary Project In-Kind,41319,mapped,,exact,true
1024,1,Asian Infrastructure Investment Bank,Asian Infrastructure Investment Bank,46026,mapped,,exact,true
1024,2,Asian Infrastructure Investment Bank,Internal Special Funds,46026,mapped,,exact,true
1025,1,Center of Excellence in Finance,Center of Excellence in Finance,47145,mapped,,exact,true
1037,1,International Investment Bank,International Investment Bank,47146,mapped,,exact,true
1038,1,UN Institute for Disarmament Research,UNIDIR Trust Fund (core resources),41150,mapped,,exact,true
1039,2,UN Capital Development Fund,UNCDF,41111,mapped,,exact,true
1040,3,UN Office on Drugs and Crime,Regular budget (developmental),41128,mapped,"UNODC (provider 1040) confirmed as a CRS self-reporter from 2023 by direct inspection of the fresh 2026-09-22 CRS extract (agency 3, 'Regular budget (developmental)'); 41128 is UNODC's specific OECD code. Not yet in provider_groupings['multilateral'] -- that JSON file is outside S1's ownership",manual,true
1041,1,Eurasian Fund for Stabilization and Development,Eurasian Fund for Stabilization and Development,47706,mapped,"Code 47706 'Eurasian Fund for Stabilization and Development' comes from the refreshed OECD codelist (2026-06-15). The previous matcher produced a false positive onto 46005 (Asian Development Fund) via an unanchored 'asian' substring match. Last CRS year 2021, so a lapsed reporter. Reviewed 2026-09-22 against fresh CRS (file date 2026-06-24).",manual,true
1044,1,New Development Bank,New Development Bank,46028,mapped,"NDB has no code in the pre-refresh crs_channel_mapping.csv; 46028 exists in the current OECD codelist. Fresh CRS data shows NDB reporting continuously 2016-2024, not lapsed after 2021 as the June cache suggested.",manual,true
1045,1,North American Development Bank,North American Development Bank,,excluded,No OECD channel code exists for North American Development Bank.,manual,true
1045,2,North American Development Bank,Community Assistance Program,,excluded,No OECD channel code exists for North American Development Bank.,manual,true
1046,1,UN Women,UN Women,41146,mapped,Current matcher sends UN Women to the generic 41305 'United Nations' bucket; 41146 is its specific code.,manual,true
1047,1,COVID-19 Response and Recovery Multi-Partner Trust Fund,COVID-19 Response and Recovery Multi-Partner Trust Fund,41403,mapped,,exact,true
1048,1,Joint Sustainable Development Goals Fund,Joint Sustainable Development Goals Fund,41402,mapped,,exact,true
1049,1,International Commission on Missing Persons,ICMP core resources,47149,mapped,,exact,true
1050,1,WHO-Strategic Preparedness and Response Plan,SPRP–Developmental,41321,mapped,,exact,true
1052,1,International Centre for Genetic Engineering and Biotechnology,"ICGEB Core, developmental",47125,mapped,,exact,true
1054,1,World Organisation for Animal Health,Statutory contribution (General budget) - Developmental,47148,mapped,,exact,true
1054,2,World Organisation for Animal Health,Statutory contribution and voluntary contributions from host country (WOAH Regional Representations) - Developmental,47148,mapped,,exact,true
1055,1,CGIAR,CGIAR,47015,mapped,,exact,true
1057,1,UN Development Coordination Office,UNDCO core resources,41149,mapped,,exact,true
1058,1,IMF Resilience and Sustainability Trust,IMF Resilience and Sustainability Trust,43007,mapped,,exact,true
1311,1,Global Alliance for Vaccines and Immunization,GAVI,47122,mapped,,exact,true
1311,2,Global Alliance for Vaccines and Immunization,International Finance Facility for Immunisation ,47107,mapped,,exact,true
1312,1,Global Fund,Global Fund,47045,mapped,,exact,true
1313,1,Global Green Growth Institute,Green Growth Planning and Implementation,47136,mapped,,exact,true
1313,2,Global Green Growth Institute,Investment and Policy Solutions Division,47136,mapped,,exact,true
1313,3,Global Green Growth Institute,Thought Leadership,47136,mapped,,exact,true
1313,4,Global Green Growth Institute,Green Investment Services,47136,mapped,,exact,true
1401,1,WTO - International Trade Centre,International Trade Centre - Regular budget,45001,mapped,"Current matcher sends WTO-ITC to 21017 (ICTSD, an unrelated NGO) via a pattern-length-sort regex collision; 45001 is WTO-ITC's own code.",manual,true
1401,3,WTO - International Trade Centre,VC unearmarked ,45001,mapped,"Current matcher sends WTO-ITC to 21017 (ICTSD, an unrelated NGO) via a pattern-length-sort regex collision; 45001 is WTO-ITC's own code.",manual,true
1403,1,UN Economic and Social Commission for Western Asia,ESCWA - United Nations Economic and Social Commission for Western Asia,41105,mapped,,exact,true
1404,1,World Trade Organisation,WTO - World Trade Organization,45001,mapped,,exact,true
1404,4,World Trade Organisation,WTO Global Trust Fund,45003,mapped,,exact,true
1406,1,United Nations Industrial Development Organization,UNIDO,41123,mapped,,exact,true
